Region,School Name,BEIS School ID,Division,District,K Total,G1 Total,G2 Total,G3 Total,G4 Total,G5 Total,G6 Total,G7 Total,G8 Total,G9 Total,G10 Total,G11 STEM Total,G11 HUMSS Total,G11 ABM Total,G11 GAS Total,G11 TVL Total,G11 SPORTS Total,G11 ARTS Total,G11 PBM Total,G12 STEM Total,G12 HUMSS Total,G12 ABM Total,G12 GAS Total,G12 TVL Total,G12 SPORTS Total,G12 ARTS Total,G12 PBM Total
Region I,Apaleng-Libtong Elementary School,100001,Ilocos Norte,Bacarra I,19,60,56,41,80,62,63,64,55,65,31,53,49,27,75,47,52,90,39,37,79,34,69,61,52,55,69
Region I,Bacarra CES,100002,Ilocos Norte,Bacarra I,85,48,50,27,76,28,35,54,42,35,27,41,50,90,61,72,7,25,49,71,22,38,61,18,26,50,53
Region I,Buyon Elementary School,100003,Ilocos Norte,Bacarra I,34,35,23,66,23,75,27,43,51,86,44,56,61,70,47,69,17,70,33,70,48,13,73,62,42,70,65
Region I,Ganagan Elementary School,100004,Ilocos Norte,Bacarra I,37,95,24,27,44,56,48,60,16,28,69,60,79,64,76,85,54,80,22,66,13,25,31,33,77,51,93
Region I,Macupit Elementary School,100005,Ilocos Norte,Bacarra I,61,80,62,45,51,44,19,24,26,41,70,64,65,28,30,42,93,35,52,54,52,30,35,29,65,69,66
Region I,Nambaran Elementary School,100006,Ilocos Norte,Bacarra I,9,50,48,86,52,49,63,45,81,19,44,67,41,42,61,59,66,58,69,58,45,62,13,46,51,37,14
Region I,Pasiocan Elementary School,100007,Ilocos Norte,Bacarra I,47,55,83,78,40,51,54,69,48,45,59,56,41,35,50,50,28,82,57,45,24,71,65,35,56,61,68
Region I,Pulangi Elementary School,100008,Ilocos Norte,Bacarra I,8,55,57,52,47,37,68,60,41,70,49,15,43,50,55,19,12,42,38,84,70,53,24,20,53,44,44
Region I,Sabas-Sagisi Memorial Elem. School,100009,Ilocos Norte,Bacarra I,52,31,46,44,65,75,45,77,29,64,34,82,43,76,29,19,44,71,68,47,66,21,53,26,78,47,45
Region I,SPECIAL EDUCATION CENTER,100010,Ilocos Norte,Bacarra I,63,69,10,33,65,48,85,46,36,10,8,60,17,63,18,22,83,68,34,50,27,55,51,79,74,63,31
Region I,Santo Cristo Elementary School,100011,Ilocos Norte,Bacarra I,72,54,68,83,51,31,42,26,43,49,63,82,35,61,81,44,39,65,72,26,62,63,72,58,87,32,85
Region I,Tambidao Elementary School,100012,Ilocos Norte,Bacarra I,39,87,46,30,46,24,81,64,63,49,65,53,67,12,54,65,70,45,56,53,76,34,58,86,65,66,28
Region I,Bacarra NCHS,300002,Ilocos Norte,Bacarra I,43,6,76,45,22,72,85,40,64,85,39,24,44,75,42,71,49,61,54,92,72,38,52,37,28,32,52
Region I,Cadaratan National High School,300007,Ilocos Norte,Bacarra I,26,91,53,33,48,52,57,67,47,60,79,59,43,42,67,82,51,10,53,70,42,57,62,50,81,22,43
Region I,"St. Andrew Academy of Bacarra, Inc.",400001,Ilocos Norte,Bacarra I,26,66,88,86,28,59,50,73,48,22,68,34,37,39,33,48,68,21,73,51,39,81,57,44,63,14,83
Region I,"The Riverdeep Academy, Inc.",410001,Ilocos Norte,Bacarra I,34,35,58,45,38,46,82,19,68,56,42,51,90,9,49,46,56,17,52,27,56,79,65,88,69,51,43
Region I,St. Andrew Grade School,410019,Ilocos Norte,Bacarra I,52,54,75,38,81,57,41,35,77,49,17,71,74,7,52,75,24,53,30,15,14,90,43,81,51,28,79
Region I,Bangsirit Elementary School,100013,Ilocos Norte,Bacarra II,46,98,74,59,64,71,62,40,93,48,29,41,74,60,18,41,43,71,27,47,50,57,48,45,67,32,37
Region I,Cabaruan Elementary School,100014,Ilocos Norte,Bacarra II,57,72,45,86,76,49,36,42,34,16,11,26,46,75,38,73,58,70,47,16,24,44,51,56,53,71,25
