Region,Division,District,BEIS School ID,School Name,Province,Municipality,Legislative District,Barangay,Sector,School Subclassification,School Type,Modified COC,K Male,K Female,G1 Male,G1 Female,G2 Male,G2 Female,G3 Male,G3 Female,G4 Male,G4 Female,G5 Male,G5 Female,G6 Male,G6 Female,Elem NG Male,Elem NG Female,G7 Male,G7 Female,G8 Male,G8 Female,G9 Male,G9 Female,G10 Male,G10 Female,JHS NG Male,JHS NG Female,G11 ACAD ABM Male,G11 ACAD ABM Female,G11 ACAD HUMSS Male,G11 ACAD HUMSS Female,G11 ACAD STEM Male,G11 ACAD STEM Female,G11 ACAD GAS Male,G11 ACAD GAS Female,G11 ACAD PBM Male,G11 ACAD PBM Female,G11 TVL Male,G11 TVL Female,G11 SPORTS Male,G11 SPORTS Female,G11 ARTS Male,G11 ARTS Female,G12 ACAD ABM Male,G12 ACAD ABM Female,G12 ACAD HUMSS Male,G12 ACAD HUMSS Female,G12 ACAD STEM Male,G12 ACAD STEM Female,G12 ACAD GAS Male,G12 ACAD GAS Female,G12 ACAD PBM Male,G12 ACAD PBM Female,G12 TVL Male,G12 TVL Female,G12 SPORTS Male,G12 SPORTS Female,G12 ARTS Male,G12 ARTS Female
Region I,Ilocos Norte,Bacarra I,100001,Apaleng-Libtong Elementary School,ILOCOS NORTE,BACARRA,1st District,LIBTONG,Public,DepED Managed,School with no Annexes,Purely ES,4,5,3,2,5,7,5,1,2,2,2,9,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra I,100002,Bacarra CES,ILOCOS NORTE,BACARRA,1st District,SANTA RITA (POB.),Public,DepED Managed,School with no Annexes,Purely ES,26,25,33,25,18,29,23,32,30,23,34,35,27,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra I,100003,Buyon Elementary School,ILOCOS NORTE,BACARRA,1st District,BUYON,Public,DepED Managed,School with no Annexes,Purely ES,8,10,11,10,11,4,13,4,8,7,12,14,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra I,100004,Ganagan Elementary School,ILOCOS NORTE,BACARRA,1st District,GANAGAN,Public,DepED Managed,School with no Annexes,Purely ES,9,8,5,4,6,5,6,8,7,5,1,13,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra I,100005,Macupit Elementary School,ILOCOS NORTE,BACARRA,1st District,MACUPIT,Public,DepED Managed,School with no Annexes,Purely ES,5,3,5,2,3,2,6,4,4,2,4,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra I,100006,Nambaran Elementary School,ILOCOS NORTE,BACARRA,1st District,NAMBARAN,Public,DepED Managed,School with no Annexes,Purely ES,4,7,6,11,7,6,8,5,3,5,10,6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra I,100007,Pasiocan Elementary School,ILOCOS NORTE,BACARRA,1st District,PASIOCAN,Public,DepED Managed,School with no Annexes,Purely ES,7,7,3,10,11,8,15,10,5,6,13,14,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra I,100008,Pulangi Elementary School,ILOCOS NORTE,BACARRA,1st District,PULANGI,Public,DepED Managed,School with no Annexes,Purely ES,13,5,18,15,13,14,13,10,13,15,24,19,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra I,100009,Sabas-Sagisi Memorial Elem. School,ILOCOS NORTE,BACARRA,1st District,SANGIL,Public,DepED Managed,School with no Annexes,Purely ES,7,4,11,9,2,2,14,14,6,9,18,19,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region I,Ilocos Norte,Bacarra I,100010,SPECIAL EDUCATION CENTER,ILOCOS NORTE,BACARRA,1st District,SANTA RITA (POB.),Public,DepED Managed,School with no Annexes,Purely ES,11,7,11,12,11,10,10,10,4,7,18,13,6,10,30,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
